m6,m5,m4,m3,m2,m1,n
21.786,21.752,22.386,22.443,21.891,21.896,21.259
21.752,22.386,22.443,21.891,21.896,21.259,21.354
22.386,22.443,21.891,21.896,21.259,21.354,21.191
22.443,21.891,21.896,21.259,21.354,21.191,21.365
21.891,21.896,21.259,21.354,21.191,21.365,21.947
21.896,21.259,21.354,21.191,21.365,21.947,21.913
21.259,21.354,21.191,21.365,21.947,21.913,22.278
21.354,21.191,21.365,21.947,21.913,22.278,22.79
21.191,21.365,21.947,21.913,22.278,22.79,22.617
21.365,21.947,21.913,22.278,22.79,22.617,22.822
21.947,21.913,22.278,22.79,22.617,22.822,22.639
21.913,22.278,22.79,22.617,22.822,22.639,22.538
22.278,22.79,22.617,22.822,22.639,22.538,22.492
22.79,22.617,22.822,22.639,22.538,22.492,22.999
22.617,22.822,22.639,22.538,22.492,22.999,21.882
22.822,22.639,22.538,22.492,22.999,21.882,21.852
22.639,22.538,22.492,22.999,21.882,21.852,21.721
22.538,22.492,22.999,21.882,21.852,21.721,21.656
22.492,22.999,21.882,21.852,21.721,21.656,21.791
22.999,21.882,21.852,21.721,21.656,21.791,21.682
21.882,21.852,21.721,21.656,21.791,21.682,21.345
21.852,21.721,21.656,21.791,21.682,21.345,21.311
21.721,21.656,21.791,21.682,21.345,21.311,20.804
21.656,21.791,21.682,21.345,21.311,20.804,20.462
21.791,21.682,21.345,21.311,20.804,20.462,20.74
21.682,21.345,21.311,20.804,20.462,20.74,20.744
21.345,21.311,20.804,20.462,20.74,20.744,20.372
21.311,20.804,20.462,20.74,20.744,20.372,20.349
20.804,20.462,20.74,20.744,20.372,20.349,20.079
20.462,20.74,20.744,20.372,20.349,20.079,19.948
20.74,20.744,20.372,20.349,20.079,19.948,19.874
20.744,20.372,20.349,20.079,19.948,19.874,19.897
20.372,20.349,20.079,19.948,19.874,19.897,19.864
20.349,20.079,19.948,19.874,19.897,19.864,19.665
20.079,19.948,19.874,19.897,19.864,19.665,20.033
19.948,19.874,19.897,19.864,19.665,20.033,20.016
19.874,19.897,19.864,19.665,20.033,20.016,19.272
19.897,19.864,19.665,20.033,20.016,19.272,19.046
19.864,19.665,20.033,20.016,19.272,19.046,19.81
19.665,20.033,20.016,19.272,19.046,19.81,19.55
20.033,20.016,19.272,19.046,19.81,19.55,19.496
